driver_number,lap_number,lap_time_seconds,duration_sector_1,duration_sector_2,duration_sector_3,is_pit_out_lap,lap_time_formatted
63,4,130.853,28.42,52.494,49.939,false,2:10.853
77,4,98.113,28.704,41.645,27.764,false,1:38.112
23,2,99.115,28.654,42.196,28.265,false,1:39.114
4,4,95.782,28.103,40.693,26.986,false,1:35.781
55,4,96.128,28.172,40.688,27.268,false,1:36.128
31,4,97.394,28.663,41.129,27.602,false,1:37.394
11,4,96.838,28.416,41.079,27.343,false,1:36.837
16,4,96.368,28.144,40.735,27.489,false,1:36.367
2,3,99.16,29.148,41.972,28.04,false,1:39.159
22,4,97.859,28.738,41.481,27.64,false,1:37.858
24,5,138.689,44.522,57.995,36.172,false,2:18.688
81,4,97.716,28.535,41.72,27.461,false,1:37.715
77,5,136.053,37.111,63.028,35.914,false,2:16.052
44,4,96.386,28.335,41.042,27.009,false,1:36.385
10,4,97.762,28.552,41.535,27.675,false,1:37.762
23,3,134.324,40.527,55.583,38.214,false,2:14.324
27,4,97.186,28.371,41.107,27.708,false,1:37.186
1,4,96.421,28.453,40.888,27.08,false,1:36.421
20,4,97.649,28.526,41.142,27.981,false,1:37.649
14,5,96.944,28.317,41.25,27.377,false,1:36.944
40,5,99.236,29.146,42.113,27.977,false,1:39.236
63,5,165.023,62.378,66.658,35.987,true,2:45.022
4,5,124.286,36.825,48.286,39.175,false,2:04.286
55,5,159.914,47.031,70.345,42.538,false,2:39.913
31,5,159.147,47.854,65.205,46.088,false,2:39.146
